,Base Asset,Quote Asset,Price
714,WRX,WRXUSDT,0.24400000
715,ICX,ICXBUSD,0.33900000
716,BTS,BTSUSDT,0.01329000
717,BTS,BTSBUSD,0.01930000
718,LSK,LSKUSDT,1.22100000
719,BNT,BNTUSDT,0.62100000
720,BNT,BNTBUSD,0.62100000
721,LTO,LTOBNB,0.00248000
722,LTO,LTOBTC,0.00000434
723,LTO,LTOUSDT,0.10350000
724,ATOM,ATOMBUSD,11.74500000
725,DASH,DASHBUSD,54.10000000
726,NEO,NEOBUSD,11.74000000
727,WAVES,WAVESBUSD,6.16700000
728,XTZ,XTZBUSD,1.88100000
729,EOSBULL,EOSBULLUSDT,3.85000000
730,EOSBULL,EOSBULLBUSD,3.90000000
731,EOSBEAR,EOSBEARUSDT,30.21000000
732,EOSBEAR,EOSBEARBUSD,29.81000000
733,XRPBULL,XRPBULLUSDT,8.74000000
734,XRPBULL,XRPBULLBUSD,8.78000000
735,XRPBEAR,XRPBEARUSDT,548.55000000
736,XRPBEAR,XRPBEARBUSD,547.33000000
737,BAT,BATBUSD,0.43170000
738,ENJ,ENJBUSD,0.69700000
739,NANO,NANOBUSD,2.22500000
740,ONT,ONTBUSD,0.28870000
741,RVN,RVNBUSD,0.03833000
742,STRAT,STRATBUSD,0.49150000
743,STRAT,STRATBNB,0.01900000
744,STRAT,STRATUSDT,0.49040000
745,AION,AIONBUSD,0.07210000
746,AION,AIONUSDT,0.04303000
747,MBL,MBLBNB,0.00001202
748,MBL,MBLBTC,0.00000005
749,MBL,MBLUSDT,0.00469400
750,COTI,COTIBNB,0.00037280
751,COTI,COTIBTC,0.00000505
752,COTI,COTIUSDT,0.12040000
753,ALGO,ALGOBUSD,0.36070000
754,BTT,BTTBUSD,0.00277800
755,TOMO,TOMOBUSD,0.65700000
756,XMR,XMRBUSD,166.50000000
757,ZEC,ZECBUSD,72.50000000
758,BNBBULL,BNBBULLUSDT,57.21000000
759,BNBBULL,BNBBULLBUSD,58.37000000
760,BNBBEAR,BNBBEARUSDT,58.61000000
761,BNBBEAR,BNBBEARBUSD,57.21000000
762,STPT,STPTBNB,0.00067000
763,STPT,STPTBTC,0.00000208
764,STPT,STPTUSDT,0.04952000
765,BTC,BTCZAR,857014.00000000
766,ETH,ETHZAR,27850.40000000
767,BNB,BNBZAR,5000.00000000
768,USDT,USDTZAR,14.02300000
769,BUSD,BUSDZAR,13.88800000
770,BTC,BTCBKRW,42029197.00000000
771,ETH,ETHBKRW,1277799.00000000
772,BNB,BNBBKRW,44687.00000000
773,WTC,WTCUSDT,0.29790000
774,DATA,DATABUSD,0.03970000
775,DATA,DATAUSDT,0.03970000
776,XZC,XZCUSDT,4.44600000
777,SOL,SOLBNB,0.13010000
778,SOL,SOLBTC,0.00176540
779,SOL,SOLUSDT,42.20000000
780,SOL,SOLBUSD,42.20000000
781,BTC,BTCIDRT,693891182.00
782,BNB,BNBIDRT,4286985.00
783,USDT,USDTIDRT,14882.00
784,BUSD,BUSDIDRT,14389.00
785,CTSI,CTSIBTC,0.00000737
786,CTSI,CTSIUSDT,0.17660000
787,CTSI,CTSIBNB,0.00054400
788,CTSI,CTSIBUSD,0.17640000
789,HIVE,HIVEBNB,0.00429000
790,HIVE,HIVEBTC,0.00002495
791,HIVE,HIVEUSDT,0.59500000
792,CHR,CHRBNB,0.00069260
793,CHR,CHRBTC,0.00000940
794,CHR,CHRUSDT,0.22460000
795,BTCUP,BTCUPUSDT,6.25900000
796,BTCDOWN,BTCDOWNUSDT,0.02283200
797,GXS,GXSUSDT,1.79230000
798,ARDR,ARDRUSDT,0.11410000
799,ERD,ERDBUSD,0.01966100
800,LEND,LENDUSDT,0.51431000
801,HBAR,HBARBUSD,0.07810000
802,MATIC,MATICBUSD,0.91900000
803,WRX,WRXBUSD,0.24400000
804,ZIL,ZILBUSD,0.04546000
805,MDT,MDTBNB,0.00073720
806,MDT,MDTBTC,0.00000139
807,MDT,MDTUSDT,0.03304000
808,STMX,STMXBTC,0.00000037
809,STMX,STMXETH,0.00000507
810,STMX,STMXUSDT,0.00907000
811,KNC,KNCBUSD,1.58500000
812,KNC,KNCUSDT,1.58300000
813,REP,REPBUSD,13.67300000
814,REP,REPUSDT,8.94000000
815,LRC,LRCBUSD,0.47770000
816,LRC,LRCUSDT,0.47800000
817,IQ,IQBNB,0.00002243
818,IQ,IQBUSD,0.00604000
819,PNT,PNTBTC,0.00001425
820,PNT,PNTUSDT,0.34100000
821,BTC,BTCGBP,19804.02000000
822,ETH,ETHGBP,1461.65000000
823,XRP,XRPGBP,0.31390000
824,BNB,BNBGBP,268.40000000
825,GBP,GBPBUSD,1.20700000
826,DGB,DGBBTC,0.00000051
827,DGB,DGBBUSD,0.01238000
828,BTC,BTCUAH,935781.00000000
829,USDT,USDTUAH,39.16000000
830,COMP,COMPBTC,0.00262500
831,COMP,COMPBNB,5.71900000
832,COMP,COMPBUSD,62.65000000
833,COMP,COMPUSDT,62.67000000
834,BTC,BTCBIDR,355315595.00
835,ETH,ETHBIDR,26236542.00
836,BNB,BNBBIDR,4817742.00
837,BUSD,BUSDBIDR,14862.00
838,USDT,USDTBIDR,14864.00
839,BKRW,BKRWUSDT,0.00084530
840,BKRW,BKRWBUSD,0.00084550
841,SC,SCUSDT,0.00472000
842,ZEN,ZENUSDT,18.97000000
843,SXP,SXPBTC,0.00001975
844,SXP,SXPBNB,0.00145500
845,SXP,SXPBUSD,0.47100000
846,SNX,SNXBTC,0.00017120
847,SNX,SNXBNB,0.01261000
848,SNX,SNXBUSD,4.09000000
849,SNX,SNXUSDT,4.08900000
850,ETHUP,ETHUPUSDT,4.92700000
851,ETHDOWN,ETHDOWNUSDT,0.79810000
852,ADAUP,ADAUPUSDT,1.21900000
853,ADADOWN,ADADOWNUSDT,0.00364000
854,LINKUP,LINKUPUSDT,0.01710000
855,LINKDOWN,LINKDOWNUSDT,0.00616100
856,VTHO,VTHOBNB,0.00000673
857,VTHO,VTHOBUSD,0.00071800
858,VTHO,VTHOUSDT,0.00212700
859,DCR,DCRBUSD,16.03500000
860,DGB,DGBUSDT,0.01237000
861,GBP,GBPUSDT,1.20700000
862,STORJ,STORJBUSD,0.69700000
863,SXP,SXPUSDT,0.47200000
864,IRIS,IRISBNB,0.00166200
865,IRIS,IRISBTC,0.00000113
866,IRIS,IRISBUSD,0.06080000
867,MKR,MKRBNB,6.90300000
868,MKR,MKRBTC,0.04797000
869,MKR,MKRUSDT,1149.00000000
870,MKR,MKRBUSD,1149.00000000
871,DAI,DAIBNB,0.04876000
872,DAI,DAIBTC,0.00008966
873,DAI,DAIUSDT,1.01890000
874,DAI,DAIBUSD,1.01810000
875,RUNE,RUNEBNB,0.00902000
876,RUNE,RUNEBTC,0.00012260
877,RUNE,RUNEBUSD,2.93100000
878,MANA,MANABUSD,1.07530000
879,DOGE,DOGEBUSD,0.06972000
880,LEND,LENDBUSD,0.51530000
881,ZRX,ZRXBUSD,0.36030000
882,DCR,DCRUSDT,37.60000000
883,STORJ,STORJUSDT,0.69800000
884,XRP,XRPBKRW,319.76000000
885,ADA,ADABKRW,327.55000000
886,BTC,BTCAUD,34241.20000000
887,ETH,ETHAUD,2528.02000000
888,AUD,AUDBUSD,0.69840000
889,FIO,FIOBNB,0.00017080
890,FIO,FIOBTC,0.00000232
891,FIO,FIOBUSD,0.05550000
892,BNBUP,BNBUPUSDT,43.36000000
893,BNBDOWN,BNBDOWNUSDT,0.03165000
894,XTZUP,XTZUPUSDT,0.00255100
895,XTZDOWN,XTZDOWNUSDT,2.60010000
896,AVA,AVABNB,0.00218800
897,AVA,AVABTC,0.00003846
898,AVA,AVABUSD,0.91800000
899,USDT,USDTBKRW,1125.00000000
900,BUSD,BUSDBKRW,1097.18000000
901,IOTA,IOTABUSD,0.34820000
902,MANA,MANAUSDT,1.07560000
903,XRP,XRPAUD,0.54320000
904,BNB,BNBAUD,463.80000000
905,AUD,AUDUSDT,0.69810000
906,BAL,BALBNB,0.42580000
907,BAL,BALBTC,0.00026330
908,BAL,BALBUSD,6.28000000
909,YFI,YFIBNB,82.19000000
910,YFI,YFIBTC,0.48030000
911,YFI,YFIBUSD,11467.06000000
912,YFI,YFIUSDT,11481.97000000
913,BLZ,BLZBUSD,0.10540000
914,KMD,KMDBUSD,0.46760000
915,BAL,BALUSDT,6.29000000
916,BLZ,BLZUSDT,0.10530000
917,IRIS,IRISUSDT,0.02679000
918,KMD,KMDUSDT,0.31890000
919,BTC,BTCDAI,23884.19000000
920,ETH,ETHDAI,1764.43000000
921,BNB,BNBDAI,323.80000000
922,USDT,USDTDAI,1.00040000
923,BUSD,BUSDDAI,1.00010000
924,JST,JSTBNB,0.00021850
925,JST,JSTBTC,0.00000138
926,JST,JSTBUSD,0.03279000
927,JST,JSTUSDT,0.03285000
928,SRM,SRMBNB,0.00314000
929,SRM,SRMBTC,0.00004270
930,SRM,SRMBUSD,1.01900000
931,SRM,SRMUSDT,1.01800000
932,ANT,ANTBNB,0.00644000
933,ANT,ANTBTC,0.00008732
934,ANT,ANTBUSD,2.08500000
935,ANT,ANTUSDT,2.08700000
936,CRV,CRVBNB,0.00687000
937,CRV,CRVBTC,0.00005951
938,CRV,CRVBUSD,1.42100000
939,CRV,CRVUSDT,1.42200000
940,SAND,SANDBNB,0.00414100
941,SAND,SANDBTC,0.00005617
942,SAND,SANDUSDT,1.34280000
943,SAND,SANDBUSD,1.34300000
944,OCEAN,OCEANBNB,0.00065400
945,OCEAN,OCEANBTC,0.00000889
946,OCEAN,OCEANBUSD,0.21230000
947,OCEAN,OCEANUSDT,0.21240000
948,NMR,NMRBTC,0.00090400
949,NMR,NMRBUSD,21.60000000
950,NMR,NMRUSDT,21.61000000
951,DOT,DOTBNB,0.02822000
952,DOT,DOTBTC,0.00038300
953,DOT,DOTBUSD,9.16000000
954,DOT,DOTUSDT,9.16000000
955,LUNA,LUNABNB,0.00000019
956,LUNA,LUNABTC,0.00000001
957,LUNA,LUNABUSD,2.11130000
958,LUNA,LUNAUSDT,2.11130000
959,IDEX,IDEXBTC,0.00000334
960,IDEX,IDEXBUSD,0.07991000
961,RSR,RSRBNB,0.00002390
962,RSR,RSRBTC,0.00000016
963,RSR,RSRBUSD,0.00775000
964,RSR,RSRUSDT,0.00777000
965,PAXG,PAXGBNB,5.47700000
966,PAXG,PAXGBTC,0.07451000
967,PAXG,PAXGBUSD,1779.00000000
968,PAXG,PAXGUSDT,1779.00000000
969,WNXM,WNXMBNB,0.17350000
970,WNXM,WNXMBTC,0.00067200
971,WNXM,WNXMBUSD,22.16500000
972,WNXM,WNXMUSDT,19.27000000
973,TRB,TRBBNB,0.51700000
974,TRB,TRBBTC,0.00136400
975,TRB,TRBBUSD,32.72000000
976,TRB,TRBUSDT,32.69000000
977,ETH,ETHNGN,805670.00000000
978,DOT,DOTBIDR,135784.00
979,LINK,LINKAUD,12.43200000
980,SXP,SXPAUD,1.86800000
981,BZRX,BZRXBNB,0.00514000
982,BZRX,BZRXBTC,0.00000463
983,BZRX,BZRXBUSD,0.21640000
984,BZRX,BZRXUSDT,0.21560000
985,WBTC,WBTCBTC,1.00050000
986,WBTC,WBTCETH,13.54000000
987,SUSHI,SUSHIBNB,0.00481000
988,SUSHI,SUSHIBTC,0.00006520
989,SUSHI,SUSHIBUSD,1.55800000
990,SUSHI,SUSHIUSDT,1.55900000
991,YFII,YFIIBNB,4.42000000
992,YFII,YFIIBTC,0.07407000
993,YFII,YFIIBUSD,1192.00000000
994,YFII,YFIIUSDT,1768.00000000
995,KSM,KSMBNB,0.19970000
996,KSM,KSMBTC,0.00272800
997,KSM,KSMBUSD,64.90000000
998,KSM,KSMUSDT,65.20000000
999,EGLD,EGLDBNB,0.20040000
1000,EGLD,EGLDBTC,0.00271900
1001,EGLD,EGLDBUSD,65.01000000
1002,EGLD,EGLDUSDT,65.02000000
1003,DIA,DIABNB,0.00381300
1004,DIA,DIABTC,0.00001997
1005,DIA,DIABUSD,0.47800000
1006,DIA,DIAUSDT,0.47700000
1007,RUNE,RUNEUSDT,2.93000000
1008,FIO,FIOUSDT,0.05530000
1009,UMA,UMABTC,0.00012780
1010,UMA,UMAUSDT,3.06000000
1011,EOSUP,EOSUPUSDT,0.21130000
1012,EOSDOWN,EOSDOWNUSDT,0.00036650
1013,TRXUP,TRXUPUSDT,0.07054000
1014,TRXDOWN,TRXDOWNUSDT,1.03200000
1015,XRPUP,XRPUPUSDT,0.14470000
1016,XRPDOWN,XRPDOWNUSDT,0.00071490
1017,DOTUP,DOTUPUSDT,0.33020000
1018,DOTDOWN,DOTDOWNUSDT,9.15000000
1019,SRM,SRMBIDR,26748.00
1020,ONE,ONEBIDR,119.92
1021,LINK,LINKTRY,156.50000000
1022,USDT,USDTNGN,679.40000000
1023,BEL,BELBNB,0.00272500
1024,BEL,BELBTC,0.00003700
1025,BEL,BELBUSD,0.88200000
1026,BEL,BELUSDT,0.88400000
1027,WING,WINGBNB,0.04865000
1028,WING,WINGBTC,0.00064590
1029,SWRV,SWRVBNB,0.00150400
1030,SWRV,SWRVBUSD,0.56490000
1031,WING,WINGBUSD,15.45000000
1032,WING,WINGUSDT,15.45000000
1033,LTCUP,LTCUPUSDT,0.48010000
1034,LTCDOWN,LTCDOWNUSDT,2.22790000
1035,LEND,LENDBKRW,579.46000000
1036,SXP,SXPEUR,0.46900000
1037,CREAM,CREAMBNB,0.07230000
1038,CREAM,CREAMBUSD,21.81000000
1039,UNI,UNIBNB,0.02726000
1040,UNI,UNIBTC,0.00036980
1041,UNI,UNIBUSD,8.84000000
1042,UNI,UNIUSDT,8.84000000
1043,NBS,NBSBTC,0.00000031
1044,NBS,NBSUSDT,0.00549000
1045,OXT,OXTBTC,0.00000528
1046,OXT,OXTUSDT,0.12570000
1047,SUN,SUNBTC,0.00071100
1048,SUN,SUNUSDT,0.00662000
1049,AVAX,AVAXBNB,0.08932000
1050,AVAX,AVAXBTC,0.00121180
1051,AVAX,AVAXBUSD,28.97000000
1052,AVAX,AVAXUSDT,28.96000000
1053,HNT,HNTBTC,0.00037870
1054,HNT,HNTUSDT,9.04000000
1055,BAKE,BAKEBNB,0.00111200
1056,BURGER,BURGERBNB,0.00492000
1057,SXP,SXPBIDR,19956.00
1058,LINK,LINKBKRW,16948.99000000
1059,FLM,FLMBNB,0.00333000
1060,FLM,FLMBTC,0.00000879
1061,FLM,FLMBUSD,0.23210000
1062,FLM,FLMUSDT,0.21000000
1063,SCRT,SCRTBTC,0.00005515
1064,SCRT,SCRTETH,0.00074490
1065,CAKE,CAKEBNB,0.01373000
1066,CAKE,CAKEBUSD,4.45200000
1067,SPARTA,SPARTABNB,0.00009180
1068,UNIUP,UNIUPUSDT,1.05500000
1069,UNIDOWN,UNIDOWNUSDT,2.17200000
1070,ORN,ORNBTC,0.00006390
1071,ORN,ORNUSDT,1.52200000
1072,TRX,TRXNGN,20.71000000
1073,SXP,SXPTRY,8.48000000
1074,UTK,UTKBTC,0.00000626
1075,UTK,UTKUSDT,0.14970000
1076,XVS,XVSBNB,0.02135000
1077,XVS,XVSBTC,0.00029120
1078,XVS,XVSBUSD,6.96000000
1079,XVS,XVSUSDT,6.96000000
1080,ALPHA,ALPHABNB,0.00053900
1081,ALPHA,ALPHABTC,0.00000731
1082,ALPHA,ALPHABUSD,0.17460000
1083,ALPHA,ALPHAUSDT,0.17500000
1084,VIDT,VIDTBTC,0.00001487
1085,VIDT,VIDTBUSD,0.35560000
1086,AAVE,AAVEBNB,0.31540000
1087,BTC,BTCBRL,123027.00000000
1088,USDT,USDTBRL,5.14600000
1089,AAVE,AAVEBTC,0.00428400
1090,AAVE,AAVEETH,0.05790000
1091,AAVE,AAVEBUSD,102.30000000
1092,AAVE,AAVEUSDT,102.40000000
1093,AAVE,AAVEBKRW,164167.00000000
1094,NEAR,NEARBNB,0.01692200
1095,NEAR,NEARBTC,0.00022976
1096,NEAR,NEARBUSD,5.49400000
1097,NEAR,NEARUSDT,5.49300000
1098,SXPUP,SXPUPUSDT,0.17426000
1099,SXPDOWN,SXPDOWNUSDT,0.08950000
1100,DOT,DOTBKRW,13514.98000000
1101,SXP,SXPGBP,0.40800000
1102,FIL,FILBNB,0.02720000
1103,FIL,FILBTC,0.00037200
1104,FIL,FILBUSD,8.88000000
1105,FIL,FILUSDT,8.87000000
1106,FILUP,FILUPUSDT,0.15150000
1107,FILDOWN,FILDOWNUSDT,0.00076660
1108,YFIUP,YFIUPUSDT,0.11690000
1109,YFIDOWN,YFIDOWNUSDT,0.90090000
1110,INJ,INJBNB,0.00489000
1111,INJ,INJBTC,0.00006650
1112,INJ,INJBUSD,1.58600000
1113,INJ,INJUSDT,1.58700000
1114,AERGO,AERGOBTC,0.00000593
1115,AERGO,AERGOBUSD,0.14230000
1116,LINK,LINKEUR,8.53900000
1117,ONE,ONEBUSD,0.02558000
1118,EASY,EASYETH,0.00623000
1119,AUDIO,AUDIOBTC,0.00001576
1120,AUDIO,AUDIOBUSD,0.37600000
1121,AUDIO,AUDIOUSDT,0.37600000
1122,CTK,CTKBNB,0.00337100
1123,CTK,CTKBTC,0.00004576
1124,CTK,CTKBUSD,1.09300000
1125,CTK,CTKUSDT,1.09400000
1126,BCHUP,BCHUPUSDT,0.07240000
1127,BCHDOWN,BCHDOWNUSDT,0.22470000
1128,BOT,BOTBTC,0.04906000
1129,BOT,BOTBUSD,2783.23000000
1130,ETH,ETHBRL,9082.25000000
1131,DOT,DOTEUR,8.98000000
1132,AKRO,AKROBTC,0.00000013
1133,AKRO,AKROUSDT,0.00515000
1134,KP3R,KP3RBNB,0.49980000
1135,KP3R,KP3RBUSD,161.57000000
1136,AXS,AXSBNB,0.05740000
1137,AXS,AXSBTC,0.00077900
1138,AXS,AXSBUSD,18.62000000
1139,AXS,AXSUSDT,18.62000000
1140,HARD,HARDBNB,0.00084100
1141,HARD,HARDBTC,0.00001140
1142,HARD,HARDBUSD,0.27250000
1143,HARD,HARDUSDT,0.27230000
1144,BNB,BNBBRL,1669.00000000
1145,LTC,LTCEUR,61.53000000
1146,RENBTC,RENBTCBTC,0.99310000
1147,RENBTC,RENBTCETH,16.29900000
1148,DNT,DNTBUSD,0.05450000
1149,DNT,DNTUSDT,0.05440000
1150,SLP,SLPETH,0.00000280
1151,ADA,ADAEUR,0.52220000
1152,LTC,LTCNGN,78132.00000000
1153,CVP,CVPETH,0.00025450
1154,CVP,CVPBUSD,0.44920000
1155,STRAX,STRAXBTC,0.00003090
1156,STRAX,STRAXETH,0.00041840
1157,STRAX,STRAXBUSD,0.73800000
1158,STRAX,STRAXUSDT,0.73800000
1159,FOR,FORBTC,0.00000105
1160,FOR,FORBUSD,0.02486000
1161,UNFI,UNFIBNB,0.02654000
1162,UNFI,UNFIBTC,0.00037570
1163,UNFI,UNFIBUSD,9.02400000
1164,UNFI,UNFIUSDT,9.02000000
1165,FRONT,FRONTETH,0.00033040
1166,FRONT,FRONTBUSD,0.28020000
1167,BCHA,BCHABUSD,43.64100000
1168,ROSE,ROSEBTC,0.00000441
1169,ROSE,ROSEBUSD,0.10528000
1170,ROSE,ROSEUSDT,0.10530000
1171,AVAX,AVAXTRY,521.20000000
1172,BUSD,BUSDBRL,5.14500000
1173,AVA,AVAUSDT,0.91600000
1174,SYS,SYSBUSD,0.19040000
1175,XEM,XEMUSDT,0.05210000
1176,HEGIC,HEGICETH,0.00001647
1177,HEGIC,HEGICBUSD,0.02120000
1178,AAVEUP,AAVEUPUSDT,0.60080000
1179,AAVEDOWN,AAVEDOWNUSDT,0.00467300
1180,PROM,PROMBNB,0.02234000
1181,PROM,PROMBUSD,7.25000000
1182,XRP,XRPBRL,1.95000000
1183,XRP,XRPNGN,214.17000000
1184,SKL,SKLBTC,0.00000278
1185,SKL,SKLBUSD,0.06620000
1186,SKL,SKLUSDT,0.06640000
1187,BCH,BCHEUR,140.80000000
1188,YFI,YFIEUR,11230.35000000
1189,ZIL,ZILBIDR,674.00
1190,SUSD,SUSDBTC,0.00002065
1191,SUSD,SUSDETH,0.00052700
1192,SUSD,SUSDUSDT,0.99600000
1193,COVER,COVERETH,0.06373000
1194,COVER,COVERBUSD,193.60000000
1195,GLM,GLMBTC,0.00001135
1196,GLM,GLMETH,0.00015400
1197,GHST,GHSTETH,0.00075340
1198,GHST,GHSTBUSD,1.33600000
1199,SUSHIUP,SUSHIUPUSDT,0.00471400
1200,SUSHIDOWN,SUSHIDOWNUSDT,37.37000000
1201,XLMUP,XLMUPUSDT,0.02430000
1202,XLMDOWN,XLMDOWNUSDT,4.30400000
1203,LINK,LINKBRL,44.57000000
1204,LINK,LINKNGN,11772.00000000
1205,LTC,LTCRUB,3860.10000000
1206,TRX,TRXTRY,1.26010000
1207,XLM,XLMEUR,0.13310000
1208,DF,DFETH,0.00007020
1209,DF,DFBUSD,0.04610000
1210,GRT,GRTBTC,0.00000626
1211,GRT,GRTETH,0.00008460
1212,GRT,GRTUSDT,0.14960000
1213,JUV,JUVBTC,0.00023500
1214,JUV,JUVBUSD,5.60000000
1215,JUV,JUVUSDT,5.62000000
1216,PSG,PSGBTC,0.00036960
1217,PSG,PSGBUSD,8.82000000
1218,PSG,PSGUSDT,8.83000000
1219,BUSD,BUSDBVND,23720.00
1220,USDT,USDTBVND,23710.00
1221,1INCH,1INCHBTC,0.00003501
1222,1INCH,1INCHUSDT,0.83700000
1223,REEF,REEFBTC,0.00000014
1224,REEF,REEFUSDT,0.00462000
1225,OG,OGBTC,0.00025420
1226,OG,OGUSDT,6.08000000
1227,ATM,ATMBTC,0.00020930
1228,ATM,ATMUSDT,5.01000000
1229,ASR,ASRBTC,0.00017430
1230,ASR,ASRUSDT,4.15100000
1231,CELO,CELOBTC,0.00004717
1232,CELO,CELOUSDT,1.12700000
1233,RIF,RIFBTC,0.00000330
1234,RIF,RIFUSDT,0.07880000
1235,CHZ,CHZTRY,2.70300000
1236,XLM,XLMTRY,2.44500000
1237,LINK,LINKGBP,7.20000000
1238,GRT,GRTEUR,0.14680000
1239,BTCST,BTCSTBTC,0.00084120
1240,BTCST,BTCSTBUSD,20.03000000
1241,BTCST,BTCSTUSDT,20.02000000
1242,TRU,TRUBTC,0.00000361
1243,TRU,TRUBUSD,0.53570000
1244,TRU,TRUUSDT,0.08650000
1245,DEXE,DEXEETH,0.00227900
1246,DEXE,DEXEBUSD,4.02200000
1247,EOS,EOSEUR,1.22800000
1248,LTC,LTCBRL,321.90000000
1249,USDC,USDCBUSD,1.00000000
1250,TUSD,TUSDBUSD,1.00000000
1251,PAX,PAXBUSD,1.00000000
1252,CKB,CKBBTC,0.00000015
1253,CKB,CKBBUSD,0.00483000
1254,CKB,CKBUSDT,0.00482000
1255,TWT,TWTBTC,0.00004867
1256,TWT,TWTBUSD,1.16460000
1257,TWT,TWTUSDT,1.16310000
1258,FIRO,FIROBTC,0.00011940
1259,FIRO,FIROETH,0.00133300
1260,FIRO,FIROUSDT,2.84900000
1261,BETH,BETHETH,0.96860000
1262,DOGE,DOGEEUR,0.06838000
1263,DOGE,DOGETRY,1.25400000
1264,DOGE,DOGEAUD,0.09951000
1265,DOGE,DOGEBRL,0.35810000
1266,DOT,DOTNGN,10716.00000000
1267,PROS,PROSETH,0.00026130
1268,LIT,LITBTC,0.00004235
1269,LIT,LITBUSD,1.01300000
1270,LIT,LITUSDT,1.01300000
1271,BTCVAI,BTCVAI,56876.40000000
1272,BUSDVAI,BUSDVAI,1.05800000
1273,SFP,SFPBTC,0.00001827
1274,SFP,SFPBUSD,0.43680000
1275,SFP,SFPUSDT,0.43660000
1276,DOGE,DOGEGBP,0.05757000
1277,DOT,DOTTRY,164.60000000
1278,FXS,FXSBTC,0.00031800
1279,FXS,FXSBUSD,7.59100000
1280,DODO,DODOBTC,0.00000765
1281,DODO,DODOBUSD,0.18280000
1282,DODO,DODOUSDT,0.18260000
1283,FRONT,FRONTBTC,0.00001172
1284,EASY,EASYBTC,0.00029250
1285,CAKE,CAKEBTC,0.00018650
1286,CAKE,CAKEUSDT,4.45600000
1287,BAKE,BAKEBUSD,0.36000000
1288,UFT,UFTETH,0.00013580
1289,UFT,UFTBUSD,0.24120000
1290,1INCH,1INCHBUSD,0.83600000
1291,BAND,BANDBUSD,1.86800000
1292,GRT,GRTBUSD,0.14960000
1293,IOST,IOSTBUSD,0.01532000
1294,OMG,OMGBUSD,2.35600000
1295,REEF,REEFBUSD,0.00462000
1296,ACM,ACMBTC,0.00017110
1297,ACM,ACMBUSD,4.08400000
1298,ACM,ACMUSDT,4.08400000
1299,AUCTION,AUCTIONBTC,0.00042510
1300,AUCTION,AUCTIONBUSD,10.19000000
1301,PHA,PHABTC,0.00000545
1302,PHA,PHABUSD,0.13020000
1303,DOT,DOTGBP,7.57000000
1304,ADA,ADATRY,9.56000000
1305,ADA,ADABRL,2.73800000
1306,ADA,ADAGBP,0.44040000
1307,TVK,TVKBTC,0.00000242
1308,TVK,TVKBUSD,0.05770000
1309,BADGER,BADGERBTC,0.00020380
1310,BADGER,BADGERBUSD,4.84000000
1311,BADGER,BADGERUSDT,4.84000000
1312,FIS,FISBTC,0.00001821
1313,FIS,FISBUSD,0.43630000
1314,FIS,FISUSDT,0.43690000
1315,DOT,DOTBRL,47.11000000
1316,ADA,ADAAUD,0.76160000
1317,HOT,HOTTRY,0.04748000
1318,EGLD,EGLDEUR,63.77000000
1319,OM,OMBTC,0.00000234
1320,OM,OMBUSD,0.05590000
1321,OM,OMUSDT,0.05590000
1322,POND,PONDBTC,0.00000059
1323,POND,PONDBUSD,0.01400000
1324,POND,PONDUSDT,0.01399000
1325,DEGO,DEGOBTC,0.00010253
1326,DEGO,DEGOBUSD,2.44900000
1327,DEGO,DEGOUSDT,2.44600000
1328,AVAX,AVAXEUR,28.39000000
1329,BTT,BTTTRY,0.03783000
1330,CHZ,CHZBRL,0.77300000
1331,UNI,UNIEUR,8.66000000
1332,ALICE,ALICEBTC,0.00011850
1333,ALICE,ALICEBUSD,2.83300000
1334,ALICE,ALICEUSDT,2.83500000
1335,CHZ,CHZBUSD,0.15050000
1336,CHZ,CHZEUR,0.14760000
1337,CHZ,CHZGBP,0.12430000
1338,BIFI,BIFIBNB,2.77700000
1339,BIFI,BIFIBUSD,482.40000000
1340,LINA,LINABTC,0.00000046
1341,LINA,LINABUSD,0.01093000
1342,LINA,LINAUSDT,0.01094000
1343,ADA,ADARUB,32.76000000
1344,ENJ,ENJBRL,3.59000000
1345,ENJ,ENJEUR,0.68500000
1346,MATIC,MATICEUR,0.90220000
1347,NEO,NEOTRY,211.30000000
1348,PERP,PERPBTC,0.00004584
1349,PERP,PERPBUSD,1.09500000
1350,PERP,PERPUSDT,1.09600000
1351,RAMP,RAMPBTC,0.00000273
1352,RAMP,RAMPBUSD,0.05210000
1353,RAMP,RAMPUSDT,0.05240000
1354,SUPER,SUPERBTC,0.00000730
1355,SUPER,SUPERBUSD,0.17460000
1356,SUPER,SUPERUSDT,0.17490000
1357,CFX,CFXBTC,0.00000248
1358,CFX,CFXBUSD,0.05930000
1359,CFX,CFXUSDT,0.05920000
1360,ENJ,ENJGBP,0.57980000
1361,EOS,EOSTRY,22.56000000
1362,LTC,LTCGBP,51.81000000
1363,LUNA,LUNAEUR,0.00006000
1364,RVN,RVNTRY,0.69070000
1365,THETA,THETAEUR,1.58100000
1366,XVG,XVGBUSD,0.00382000
1367,EPS,EPSBTC,0.00000499
1368,EPS,EPSBUSD,0.16790000
1369,EPS,EPSUSDT,0.16790000
1370,AUTO,AUTOBTC,0.01504000
1371,AUTO,AUTOBUSD,359.60000000
1372,AUTO,AUTOUSDT,359.90000000
1373,TKO,TKOBTC,0.00001406
1374,TKO,TKOBIDR,4990.00
1375,TKO,TKOBUSD,0.33600000
