,Base Asset,Quote Asset,Price
384,PHX,PHXETH,0.00005617
385,PHX,PHXBNB,0.00045600
386,HC,HCBTC,0.00002000
387,HC,HCETH,0.00513400
388,GO,GOBTC,0.00000043
389,GO,GOBNB,0.00069230
390,PAX,PAXBTC,0.00025175
391,PAX,PAXBNB,0.20121000
392,PAX,PAXUSDT,0.99960000
393,PAX,PAXETH,0.00888047
394,RVN,RVNBTC,0.00000160
395,DCR,DCRBTC,0.00157300
396,DCR,DCRBNB,0.78100000
397,USDC,USDCBNB,0.21755000
398,MITH,MITHBTC,0.00000124
399,MITH,MITHBNB,0.00009080
400,BCHABC,BCHABCBTC,0.02933000
401,BCHSV,BCHSVBTC,0.01117900
402,BCHABC,BCHABCUSDT,220.08000000
403,BCHSV,BCHSVUSDT,58.90000000
404,BNB,BNBPAX,495.10000000
405,BTC,BTCPAX,51529.15000000
406,ETH,ETHPAX,3904.41000000
407,XRP,XRPPAX,0.88960000
408,EOS,EOSPAX,2.58450000
409,XLM,XLMPAX,0.04221000
410,REN,RENBTC,0.00000668
411,REN,RENBNB,0.00458500
412,BNB,BNBTUSD,324.00000000
413,XRP,XRPTUSD,0.38020000
414,EOS,EOSTUSD,4.11590000
415,XLM,XLMTUSD,0.06833000
416,BNB,BNBUSDC,324.40000000
417,BTC,BTCUSDC,23908.93000000
418,ETH,ETHUSDC,1765.35000000
419,XRP,XRPUSDC,0.37900000
420,EOS,EOSUSDC,1.25400000
421,XLM,XLMUSDC,0.04970000
422,USDC,USDCUSDT,0.99990000
423,ADA,ADATUSD,0.53070000
424,TRX,TRXTUSD,0.07006000
425,NEO,NEOTUSD,11.81800000
426,TRX,TRXXRP,0.18470000
427,XZC,XZCXRP,20.79200000
428,PAX,PAXTUSD,0.99950000
429,USDC,USDCTUSD,1.00000000
430,USDC,USDCPAX,1.00020000
431,LINK,LINKUSDT,8.70000000
432,LINK,LINKTUSD,28.87000000
433,LINK,LINKPAX,3.98340000
434,LINK,LINKUSDC,8.68000000
435,WAVES,WAVESUSDT,6.16700000
436,WAVES,WAVESTUSD,1.07200000
437,WAVES,WAVESPAX,0.80290000
438,WAVES,WAVESUSDC,1.20360000
439,BCHABC,BCHABCTUSD,220.20000000
440,BCHABC,BCHABCPAX,221.20000000
441,BCHABC,BCHABCUSDC,220.30000000
442,BCHSV,BCHSVTUSD,59.17000000
443,BCHSV,BCHSVPAX,58.18000000
444,BCHSV,BCHSVUSDC,57.50000000
445,LTC,LTCTUSD,150.10000000
446,LTC,LTCPAX,171.13000000
447,LTC,LTCUSDC,62.73000000
448,TRX,TRXPAX,0.07661000
449,TRX,TRXUSDC,0.07004000
450,BTT,BTTBTC,0.00000005
451,BTT,BTTBNB,0.00000573
452,BTT,BTTUSDT,0.00277700
453,BNB,BNBUSDS,22.27880000
454,BTC,BTCUSDS,9604.59000000
455,USDS,USDSUSDT,0.99680000
456,USDS,USDSPAX,1.00020000
457,USDS,USDSTUSD,1.00000000
458,USDS,USDSUSDC,1.00000000
459,BTT,BTTPAX,0.00038660
460,BTT,BTTTUSD,0.00277000
461,BTT,BTTUSDC,0.00277600
462,ONG,ONGBNB,0.00545000
463,ONG,ONGBTC,0.00001857
464,ONG,ONGUSDT,0.44360000
465,HOT,HOTBNB,0.00000862
466,HOT,HOTUSDT,0.00264200
467,ZIL,ZILUSDT,0.04543000
468,ZRX,ZRXBNB,0.01045000
469,ZRX,ZRXUSDT,0.36000000
470,FET,FETBNB,0.00031700
471,FET,FETBTC,0.00000428
472,FET,FETUSDT,0.10210000
473,BAT,BATUSDT,0.43150000
474,XMR,XMRBNB,0.51390000
475,XMR,XMRUSDT,166.40000000
476,ZEC,ZECBNB,0.22250000
477,ZEC,ZECUSDT,72.50000000
478,ZEC,ZECPAX,42.10000000
479,ZEC,ZECTUSD,51.48000000
480,ZEC,ZECUSDC,72.60000000
481,IOST,IOSTUSDT,0.01531000
482,CELR,CELRBNB,0.00007104
483,CELR,CELRBTC,0.00000097
484,CELR,CELRUSDT,0.02299000
485,ADA,ADAPAX,0.03257000
486,ADA,ADAUSDC,0.53150000
487,NEO,NEOPAX,11.12200000
488,NEO,NEOUSDC,28.27000000
489,DASH,DASHBNB,0.16730000
490,DASH,DASHUSDT,54.00000000
491,NANO,NANOUSDT,2.22400000
492,OMG,OMGBNB,0.03938000
493,OMG,OMGUSDT,2.35600000
494,THETA,THETAUSDT,1.61700000
495,ENJ,ENJUSDT,0.69700000
496,MITH,MITHUSDT,0.02948000
497,MATIC,MATICBNB,0.00283200
498,MATIC,MATICBTC,0.00003844
499,MATIC,MATICUSDT,0.91870000
500,ATOM,ATOMBNB,0.03619000
501,ATOM,ATOMBTC,0.00049130
502,ATOM,ATOMUSDT,11.74300000
503,ATOM,ATOMUSDC,11.72400000
504,ATOM,ATOMPAX,3.17800000
505,ATOM,ATOMTUSD,2.59800000
506,ETC,ETCUSDC,4.71000000
507,ETC,ETCPAX,4.83800000
508,ETC,ETCTUSD,3.79500000
509,BAT,BATUSDC,0.63130000
510,BAT,BATPAX,0.25560000
511,BAT,BATTUSD,0.22220000
512,PHB,PHBBNB,0.00013700
513,PHB,PHBBTC,0.00000542
514,PHB,PHBUSDC,0.00587000
515,PHB,PHBTUSD,0.22900000
516,PHB,PHBPAX,0.00639000
517,TFUEL,TFUELBNB,0.00012590
518,TFUEL,TFUELBTC,0.00000271
519,TFUEL,TFUELUSDT,0.06510000
520,TFUEL,TFUELUSDC,0.00356500
521,TFUEL,TFUELTUSD,0.00307700
522,TFUEL,TFUELPAX,0.00348700
523,ONE,ONEBNB,0.00007880
524,ONE,ONEBTC,0.00000107
525,ONE,ONEUSDT,0.02558000
526,ONE,ONETUSD,0.00472000
527,ONE,ONEPAX,0.00496000
528,ONE,ONEUSDC,0.00520000
529,FTM,FTMBNB,0.00116510
530,FTM,FTMBTC,0.00001581
531,FTM,FTMUSDT,0.37800000
532,FTM,FTMTUSD,0.01095000
533,FTM,FTMPAX,0.01028000
534,FTM,FTMUSDC,0.01107000
535,BTCB,BTCBBTC,1.00000000
536,BCPT,BCPTTUSD,0.02606000
537,BCPT,BCPTPAX,0.02761000
538,BCPT,BCPTUSDC,0.02728000
539,ALGO,ALGOBNB,0.00111100
540,ALGO,ALGOBTC,0.00001509
541,ALGO,ALGOUSDT,0.36080000
542,ALGO,ALGOTUSD,1.01700000
543,ALGO,ALGOPAX,0.20390000
544,ALGO,ALGOUSDC,0.23800000
545,USDSB,USDSBUSDT,0.99970000
546,USDSB,USDSBUSDS,0.99990000
547,GTO,GTOUSDT,0.02519000
548,GTO,GTOPAX,0.01361000
549,GTO,GTOTUSD,0.01236000
550,GTO,GTOUSDC,0.01196000
551,ERD,ERDBNB,0.00083273
552,ERD,ERDBTC,0.00000168
553,ERD,ERDUSDT,0.01971000
554,ERD,ERDPAX,0.00125270
555,ERD,ERDUSDC,0.00135730
556,DOGE,DOGEBNB,0.00015270
557,DOGE,DOGEBTC,0.00000292
558,DOGE,DOGEUSDT,0.06971000
559,DOGE,DOGEPAX,0.00216820
560,DOGE,DOGEUSDC,0.00212770
561,DUSK,DUSKBNB,0.00118000
562,DUSK,DUSKBTC,0.00000694
563,DUSK,DUSKUSDT,0.16580000
564,DUSK,DUSKUSDC,0.01790000
565,DUSK,DUSKPAX,0.01890000
566,BGBP,BGBPUSDC,1.39000000
567,ANKR,ANKRBNB,0.00010270
568,ANKR,ANKRBTC,0.00000138
569,ANKR,ANKRUSDT,0.03319000
